timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1631970000,Sep 18 2021 - 1:00pm,complete,0.0,Genoa,Fiorentina,Livio Marinelli,4,0.0,1.5,0.89,1.11,1,2,3,0,0,0,90'8,"60,89",1,11,4,0,4,0,3,1,2,2,10,16,4,6,6,10,12,15,35,65,1.07,1.3,1.06,1.91,3.25,100,100,100,25,0,0,100,100,100,7.5,6.0,3.3,3.35,2.3,1.31,1.87,3.0,5.5,1.71,2.2,Stadio Comunale Luigi Ferraris (Genova)
1631980800,Sep 18 2021 - 4:00pm,complete,0.0,Inter Milan,Bologna,Giovanni Ayroldi,4,3.0,1.0,2.37,0.95,6,1,7,3,3,0,"6,30,34,54,62,68",86,5,1,0,0,3,0,0,0,2,1,19,8,12,3,7,5,9,9,45,55,2.47,0.65,2.34,1.08,2.0,0,50,50,50,0,50,50,50,50,13.0,6.0,1.36,5.0,7.75,1.22,1.45,2.1,4.3,1.95,1.91,Stadio Giuseppe Meazza (Milano)
1631990700,Sep 18 2021 - 6:45pm,complete,0.0,Salernitana,Atalanta,Paolo Valeri,4,0.0,3.0,0.79,2.05,0,1,1,0,0,0,0,75,6,4,4,0,4,0,1,3,3,1,12,11,2,4,10,7,20,13,42,58,0.51,0.91,1.24,1.34,3.5,50,100,100,50,0,0,50,100,100,2.0,4.0,10.0,5.5,1.28,1.22,1.55,2.3,4.5,2.0,1.87,Stadio Arechi (Salerno)
1632047400,Sep 19 2021 - 10:30am,complete,0.0,Empoli,Sampdoria,Maurizio Mariani,4,0.0,1.0,0.89,0.79,0,3,3,1,0,1,0,"31,52,70",8,8,2,0,2,0,0,2,0,2,17,17,6,9,11,8,9,9,54,46,2.21,1.29,1.92,1.93,1.75,50,50,50,25,0,25,50,25,25,12.5,4.0,2.6,3.4,2.6,1.29,1.72,2.8,5.0,1.69,2.25,Stadio Carlo Castellani (Empoli)
1632056400,Sep 19 2021 - 1:00pm,complete,0.0,Venezia,Spezia,Rosario Abisso,4,0.0,0.5,0.74,0.95,1,2,3,1,0,1,59,"13,90'4",3,10,4,0,1,0,1,3,0,1,15,12,4,4,11,8,12,10,45,55,0.0,1.12,1.56,1.41,2.75,50,50,50,50,25,25,50,50,50,3.0,3.5,2.4,3.35,3.15,1.33,1.91,3.1,5.75,1.74,2.15,Stadio Pierluigi Penzo (Venezia)
1632067200,Sep 19 2021 - 4:00pm,complete,0.0,Hellas Verona,Roma,Fabio Maresca,4,0.0,3.0,1.58,1.42,3,2,5,1,0,1,"49,54,63","36,58",3,8,4,0,2,0,1,3,1,1,12,17,8,4,4,13,15,12,52,48,1.33,3.04,1.53,1.66,4.25,50,100,100,100,25,0,50,100,100,16.5,4.5,3.7,3.6,2.05,1.28,1.77,2.75,4.9,1.69,2.25,Stadio Marc'Antonio Bentegodi (Verona)
1632067200,Sep 19 2021 - 4:00pm,complete,0.0,Lazio,Cagliari,Davide Ghersini,4,3.0,0.0,1.89,0.79,2,2,4,1,1,0,"45,83","46,62",10,1,1,0,2,1,1,0,1,2,26,12,11,4,15,8,6,15,73,27,2.26,0.97,3.05,1.21,6.0,100,100,100,100,100,100,100,50,50,7.0,5.0,1.48,4.75,7.0,1.26,1.69,2.65,4.65,1.91,2.0,Stadio Olimpico (Roma)
1632077100,Sep 19 2021 - 6:45pm,complete,0.0,Juventus,AC Milan,Daniele Doveri,4,0.0,3.0,1.84,2.42,1,1,2,1,1,0,4,76,4,4,1,0,1,0,0,1,0,1,11,14,7,4,4,10,14,15,44,56,2.08,1.75,1.43,1.57,1.0,0,0,0,0,0,0,100,0,0,11.0,3.0,2.0,3.65,3.8,1.33,1.91,3.15,6.0,1.83,2.0,Allianz Stadium (Torino)
1632163500,Sep 20 2021 - 6:45pm,complete,0.0,Udinese,Napoli,Gianluca Manganiello,4,2.0,3.0,1.32,2.26,0,4,4,2,0,2,0,"24,35,52,84",2,5,2,0,1,0,0,2,0,1,10,17,2,9,8,8,11,9,38,62,2.03,1.94,1.0,2.06,3.25,75,100,100,25,0,25,100,100,100,10.0,4.5,4.25,3.6,1.95,1.31,1.83,3.0,5.5,1.74,2.15,Dacia Arena (Udine)
1632241800,Sep 21 2021 - 4:30pm,complete,0.0,Bologna,Genoa,Francesco Fourneau,5,3.0,1.5,1.47,0.58,2,2,4,0,0,0,"49,85","55,89",7,2,3,0,4,0,1,2,1,3,17,11,6,6,11,5,10,16,60,40,1.88,1.34,1.85,1.32,3.75,50,75,75,75,50,25,50,75,100,11.5,6.0,2.0,3.5,4.15,1.35,1.95,3.2,6.0,1.87,2.0,Stadio Renato Dall'Ara (Bologna)
1632249900,Sep 21 2021 - 6:45pm,complete,0.0,Atalanta,Sassuolo,Davide Massa,5,0.5,1.5,1.05,1.37,2,1,3,3,2,1,"3,37",44,5,5,2,0,2,0,0,2,1,1,14,8,6,2,8,6,15,16,48,52,2.19,2.08,1.72,0.96,2.75,75,75,75,25,25,0,75,75,75,12.5,4.5,1.54,4.55,6.0,1.18,1.53,2.25,3.65,1.62,2.35,Gewiss Stadium (Bergamo)
1632249900,Sep 21 2021 - 6:45pm,complete,0.0,Fiorentina,Inter Milan,Michael Fabbri,5,3.0,2.0,2.16,2.05,1,3,4,1,1,0,23,"52,55,87",4,8,1,1,3,0,0,2,1,2,13,19,7,8,6,11,12,13,53,47,1.47,1.56,1.6,2.16,3.5,100,100,100,50,0,25,100,75,100,7.0,7.0,3.85,3.9,1.95,1.24,1.71,2.65,4.55,1.67,2.3,Stadio Artemio Franchi (Firenze)
1632328200,Sep 22 2021 - 4:30pm,complete,0.0,Salernitana,Hellas Verona,Massimiliano Irrati,5,0.0,0.0,0.79,1.21,2,2,4,3,1,2,"45'2,76","7,29",4,5,2,0,3,0,0,2,2,1,15,11,6,5,9,6,13,17,50,50,0.87,0.8,1.85,1.41,1.75,0,25,25,25,0,0,0,25,100,5.5,6.0,3.7,3.25,2.2,1.43,2.15,3.7,7.25,1.95,1.91,Stadio Arechi (Salerno)
1632328200,Sep 22 2021 - 4:30pm,complete,0.0,Spezia,Juventus,Gianluca Aureliano,5,0.0,0.5,0.95,1.84,2,3,5,2,1,1,"33,49","28,66,72",5,15,2,0,1,0,0,2,0,1,11,25,5,10,6,15,15,10,40,60,2.07,1.08,1.27,2.77,2.25,50,50,50,25,0,25,50,50,100,6.0,3.0,9.5,5.75,1.33,1.2,1.56,2.4,4.1,1.91,1.95,Stadio Alberto Picco (La Spezia)
1632336300,Sep 22 2021 - 6:45pm,complete,0.0,Cagliari,Empoli,Marco Di Bello,5,0.5,3.0,0.79,1.26,0,2,2,1,0,1,0,"29,69",7,4,2,0,1,0,0,2,1,0,16,17,2,4,14,13,16,15,50,50,1.81,1.0,1.52,1.69,2.75,50,50,50,50,25,0,100,50,50,15.5,5.0,2.1,3.65,3.6,1.27,1.74,2.8,4.85,1.67,2.3,Unipol Domus (Cagliari)
1632336300,Sep 22 2021 - 6:45pm,complete,0.0,AC Milan,Venezia,Ivano Pezzuto,5,3.0,1.0,2.11,0.68,2,0,2,0,0,0,"68,82",0,4,4,0,0,2,0,0,0,1,1,15,9,5,3,10,6,12,13,67,33,2.18,1.28,1.78,0.96,3.09,42,100,59,25,25,25,84,50,75,8.5,6.0,1.25,6.5,13.0,1.2,1.54,2.35,4.15,2.1,1.77,Stadio Giuseppe Meazza (Milano)
